              PAIR_ID     YOUNGER      OLDER  REL      PROB       HSR      N        AV        GP       MHS           PHS  AV_ERROR
  SampleAA6_SampleAD3   SampleAA6  SampleAD3   AV  0.922234  0.836660   77.0  0.922234  0.000000  0.054649  2.311731e-02      True
  SampleAA6_SampleAU9   SampleAU9  SampleAA6   AV  1.000000  0.729771   79.0  1.000000  0.000000  0.000000  0.000000e+00     False
 SampleAA10_SampleAU3  SampleAA10  SampleAU3   AV  0.779615  0.976832   78.0  0.779615  0.220385  0.000000  0.000000e+00     False
  SampleAC1_SampleAU4   SampleAU4  SampleAC1   AV  1.000000  0.915205   84.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAC1_SampleAU5   SampleAU5  SampleAC1   AV  1.000000  0.919712   75.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAC1_SampleAU7   SampleAU7  SampleAC1   AV  1.000000  0.911476   87.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAC1_SampleAU8   SampleAU8  SampleAC1   AV  1.000000  0.893761   80.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAC6_SampleAD0   SampleAC6  SampleAD0   AV  0.999650  0.730841   83.0  0.999650  0.000000  0.000322  2.805599e-05      True
  SampleAC2_SampleAP6   SampleAP6  SampleAC2   AV  0.993999  0.791041   85.0  0.993999  0.000000  0.005594  4.068236e-04     False
  SampleAC7_SampleAU2   SampleAC7  SampleAU2   AV  1.000000  0.686054   92.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAC8_SampleAU2   SampleAC8  SampleAU2   AV  1.000000  0.727384   76.0  1.000000  0.000000  0.000000  0.000000e+00     False
 SampleAD1_SampleAF10  SampleAF10  SampleAD1   AV  0.999497  0.841768   98.0  0.999497  0.000503  0.000000  0.000000e+00     False
  SampleAD2_SampleAS6   SampleAS6  SampleAD2  MHS  0.879119  0.950661   90.0  0.078850  0.000000  0.879119  4.203071e-02     False
  SampleAD6_SampleAW2   SampleAD6  SampleAW2   AV  0.997415  0.771312   82.0  0.997415  0.000000  0.002301  2.834599e-04      True
 SampleAC10_SampleAY0  SampleAC10  SampleAY0   AV  0.882734  0.908800   81.0  0.882734  0.117266  0.000000  0.000000e+00     False
  SampleAD6_SampleAY2   SampleAD6  SampleAY2   AV  0.815491  0.888036  135.0  0.815491  0.000000  0.184508  8.894699e-07      True
 SampleAD6_SampleAZ10  SampleAZ10  SampleAD6   AV  1.000000  0.744806   71.0  1.000000  0.000000  0.000000  0.000000e+00     False
 SampleAD7_SampleAF10  SampleAF10  SampleAD7   AV  1.000000  0.920666   78.0  1.000000  0.000000  0.000000  0.000000e+00      True
  SampleAE2_SampleAI6   SampleAI6  SampleAE2  MHS  0.756443  0.947621   82.0  0.067164  0.000000  0.756443  1.763936e-01     False
 SampleAD10_SampleAR0  SampleAD10  SampleAR0   AV  0.944685  0.941052   83.0  0.944685  0.055315  0.000000  0.000000e+00     False
 SampleAD10_SampleAZ6  SampleAD10  SampleAZ6   AV  1.000000  0.932803   77.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAF6_SampleAH0   SampleAF6  SampleAH0   AV  0.631633  0.842979   65.0  0.631633  0.000000  0.064180  3.041871e-01     False
  SampleAF6_SampleAO0   SampleAF6  SampleAO0  MHS  0.908673  0.979607   88.0  0.019435  0.000000  0.908673  7.189166e-02     False
  SampleAF7_SampleAT3   SampleAF7  SampleAT3   AV  1.000000  0.994037  105.0  1.000000  0.000000  0.000000  0.000000e+00      True
  SampleAF8_SampleAT3   SampleAF8  SampleAT3   AV  1.000000  0.986426   84.0  1.000000  0.000000  0.000000  0.000000e+00      True
  SampleAF1_SampleAT9   SampleAT9  SampleAF1   AV  0.995594  0.814888   92.0  0.995594  0.004406  0.000000  0.000000e+00     False
  SampleAF2_SampleAV6   SampleAV6  SampleAF2  PHS  0.746760  0.989887   70.0  0.002300  0.000000  0.250941  7.467596e-01     False
  SampleAG1_SampleAZ9   SampleAZ9  SampleAG1   AV  0.922155  0.948836   98.0  0.922155  0.000300  0.000000  7.754498e-02     False
  SampleAH2_SampleAS4   SampleAS4  SampleAH2   AV  1.000000  0.760289   69.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAH2_SampleAS5   SampleAS5  SampleAH2   AV  1.000000  0.823038   65.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAG7_SampleAZ3   SampleAG7  SampleAZ3   AV  1.000000  0.741911   94.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAG8_SampleAZ3   SampleAG8  SampleAZ3   AV  1.000000  0.765093   93.0  1.000000  0.000000  0.000000  0.000000e+00     False
 SampleAG10_SampleAZ3  SampleAG10  SampleAZ3   AV  0.617768  0.784330   78.0  0.617768  0.382232  0.000000  0.000000e+00     False
  SampleAH4_SampleAS0   SampleAH4  SampleAS0   AV  1.000000  0.981045   99.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAH5_SampleAS0   SampleAH5  SampleAS0   AV  1.000000  0.996594   95.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAH7_SampleAS0   SampleAH7  SampleAS0   AV  1.000000  0.989387   87.0  1.000000  0.000000  0.000000  0.000000e+00      True
  SampleAH8_SampleAS0   SampleAH8  SampleAS0   AV  1.000000  0.982356   78.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI1_SampleAO4   SampleAO4  SampleAI1   AV  1.000000  0.990159   82.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI1_SampleAO5   SampleAO5  SampleAI1   AV  1.000000  0.991374   84.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI7_SampleAO0   SampleAI7  SampleAO0   AV  1.000000  0.909454   89.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI1_SampleAO9   SampleAO9  SampleAI1   GP  0.835034  0.775033   72.0  0.164966  0.835034  0.000000  0.000000e+00     False
  SampleAI4_SampleAU2   SampleAI4  SampleAU2   AV  1.000000  0.735723   78.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI5_SampleAU2   SampleAI5  SampleAU2   AV  1.000000  0.722877   78.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI7_SampleAU2   SampleAI7  SampleAU2   AV  1.000000  0.750491   98.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI2_SampleAU4   SampleAU4  SampleAI2   AV  1.000000  0.964203   84.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI2_SampleAU5   SampleAU5  SampleAI2   AV  1.000000  0.952149   88.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI2_SampleAU7   SampleAU7  SampleAI2   AV  1.000000  0.935073   74.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI2_SampleAU8   SampleAU8  SampleAI2   AV  1.000000  0.961272   89.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI8_SampleAO0   SampleAI8  SampleAO0   AV  1.000000  0.977855   86.0  1.000000  0.000000  0.000000  0.000000e+00     False
 SampleAJ0_SampleAO10  SampleAO10  SampleAJ0   GP  0.594456  0.995055   73.0  0.405544  0.594456  0.000000  0.000000e+00     False
  SampleAI8_SampleAU2   SampleAI8  SampleAU2   AV  1.000000  0.835408   87.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAK0_SampleAR4   SampleAR4  SampleAK0   AV  1.000000  0.770288   75.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAJ6_SampleAS1   SampleAJ6  SampleAS1  MHS  0.740958  0.998347   81.0  0.005603  0.000000  0.740958  2.534395e-01     False
  SampleAK0_SampleAR7   SampleAR7  SampleAK0   AV  1.000000  0.697559   77.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAK4_SampleAR2   SampleAK4  SampleAR2   AV  1.000000  0.968703   78.0  1.000000  0.000000  0.000000  0.000000e+00      True
  SampleAK5_SampleAR2   SampleAK5  SampleAR2   AV  1.000000  0.987205   83.0  1.000000  0.000000  0.000000  0.000000e+00      True
  SampleAK6_SampleAV3   SampleAK6  SampleAV3   AV  0.998243  0.769416   92.0  0.998243  0.000000  0.001729  2.877398e-05     False
  SampleAK6_SampleAY1   SampleAK6  SampleAY1   AV  0.999342  0.747565   89.0  0.999342  0.000000  0.000640  1.792020e-05     False
  SampleAL4_SampleAV0   SampleAL4  SampleAV0   AV  1.000000  0.986269   86.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAL5_SampleAV0   SampleAL5  SampleAV0   AV  1.000000  0.963295   95.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAL0_SampleAV4   SampleAV4  SampleAL0   AV  1.000000  0.710442   70.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAL0_SampleAV5   SampleAV5  SampleAL0   AV  1.000000  0.820849   83.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAL7_SampleAR1   SampleAL7  SampleAR1   AV  1.000000  0.981770   83.0  1.000000  0.000000  0.000000  0.000000e+00     False
 SampleAP10_SampleAQ2  SampleAP10  SampleAQ2   AV  0.833063  0.807777   81.0  0.833063  0.166937  0.000000  0.000000e+00     False
 SampleAR10_SampleAY0  SampleAR10  SampleAY0   AV  0.894466  0.768875   83.0  0.894466  0.105534  0.000000  0.000000e+00     False
  SampleAS2_SampleAY6   SampleAY6  SampleAS2   AV  0.816126  0.858186   78.0  0.816126  0.000000  0.133765  5.010938e-02      True
  SampleAV6_SampleAX3   SampleAV6  SampleAX3  MHS  0.779995  0.972209   82.0  0.021186  0.000000  0.779995  1.988186e-01     False
  SampleAV6_SampleAZ2   SampleAV6  SampleAZ2   AV  0.861588  0.858769   85.0  0.861588  0.000000  0.126644  1.176877e-02      True
 SampleAV10_SampleAZ0  SampleAV10  SampleAZ0   AV  0.946126  0.778838   85.0  0.946126  0.053874  0.000000  0.000000e+00     False
 SampleAW10_SampleAX0  SampleAW10  SampleAX0   AV  0.691460  0.949193   77.0  0.691460  0.308540  0.000000  0.000000e+00     False
  SampleAX9_SampleAZ0   SampleAX9  SampleAZ0   AV  0.803246  0.758434   81.0  0.803246  0.196754  0.000000  0.000000e+00     False
  SampleAX3_SampleAZ5   SampleAZ5  SampleAX3   AV  1.000000  0.952939   88.0  1.000000  0.000000  0.000000  0.000000e+00      True
  SampleAZ0_SampleAZ9   SampleAZ9  SampleAZ0   AV  0.565605  0.731240   78.0  0.565605  0.434347  0.000000  4.844710e-05     False
  SampleAZ2_SampleAZ9   SampleAZ9  SampleAZ2   GP  0.493706  0.895314   73.0  0.224450  0.493706  0.000000  2.818436e-01     False
  SampleAZ5_SampleAZ9   SampleAZ9  SampleAZ5   AV  1.000000  0.772448   87.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAA4_SampleAA7   SampleAA4  SampleAA7  MHS  0.988674  0.994599   93.0  0.011326  0.000000  0.988674  0.000000e+00     False
  SampleAA5_SampleAA7   SampleAA5  SampleAA7  MHS  0.990850  0.996636   87.0  0.009150  0.000000  0.990850  0.000000e+00     False
  SampleAA4_SampleAA8   SampleAA4  SampleAA8  MHS  0.990326  0.996688   90.0  0.009674  0.000000  0.990326  0.000000e+00     False
  SampleAA5_SampleAA8   SampleAA8  SampleAA5  MHS  0.931210  0.954283   89.0  0.068790  0.000000  0.931210  0.000000e+00     False
  SampleAA1_SampleAK2   SampleAK2  SampleAA1   AV  0.815303  0.871993   96.0  0.815303  0.000000  0.182711  1.985519e-03     False
  SampleAA0_SampleAT6   SampleAT6  SampleAA0  MHS  0.936601  0.962766  100.0  0.057024  0.000009  0.936601  6.366434e-03     False
  SampleAB0_SampleAB1   SampleAB1  SampleAB0  MHS  0.928863  0.962785   94.0  0.050241  0.000000  0.928863  2.089532e-02     False
  SampleAC0_SampleAJ3   SampleAC0  SampleAJ3   AV  0.917960  0.845900   84.0  0.917960  0.000000  0.074025  8.015168e-03     False
  SampleAB6_SampleAR6   SampleAR6  SampleAB6  MHS  0.809924  0.976245   83.0  0.018470  0.000000  0.809924  1.716065e-01     False
  SampleAC6_SampleAR6   SampleAR6  SampleAC6   AV  0.987343  0.811518   94.0  0.987343  0.000000  0.012495  1.625528e-04     False
  SampleAC6_SampleAY4   SampleAY4  SampleAC6   AV  1.000000  0.723572   74.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAC6_SampleAY5   SampleAY5  SampleAC6   AV  1.000000  0.730370   84.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAD1_SampleAR1   SampleAR1  SampleAD1   AV  0.942399  0.842951   92.0  0.942399  0.000000  0.056376  1.224694e-03     False
  SampleAD6_SampleAR4   SampleAR4  SampleAD6   AV  1.000000  0.818594   78.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAD6_SampleAR5   SampleAR5  SampleAD6   AV  1.000000  0.898023   76.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAD3_SampleAU3   SampleAD3  SampleAU3   AV  0.898455  0.858452   98.0  0.898455  0.000000  0.100845  7.002148e-04     False
  SampleAD7_SampleAF6   SampleAD7  SampleAF6   AV  1.000000  0.877794   90.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAD8_SampleAF6   SampleAD8  SampleAF6   AV  1.000000  0.907840  105.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAF4_SampleAJ6   SampleAF4  SampleAJ6   AV  1.000000  0.993597   94.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAF5_SampleAJ6   SampleAJ6  SampleAF5   AV  1.000000  0.989484   95.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAG1_SampleAN0   SampleAN0  SampleAG1   AV  0.995043  0.788341   87.0  0.995043  0.000000  0.004728  2.285019e-04     False
  SampleAG3_SampleAO1   SampleAO1  SampleAG3  MHS  0.971091  0.982684  101.0  0.023097  0.000000  0.971091  5.811612e-03     False
  SampleAG3_SampleAV3   SampleAG3  SampleAV3   AV  0.998017  0.772849   94.0  0.998017  0.000000  0.001961  2.217581e-05     False
  SampleAG3_SampleAY1   SampleAG3  SampleAY1   AV  0.850758  0.868006   99.0  0.850758  0.000000  0.148369  8.736137e-04     False
  SampleAG2_SampleAZ0   SampleAG2  SampleAZ0   AV  0.991060  0.792616   78.0  0.991060  0.000000  0.006901  2.038874e-03     False
  SampleAG6_SampleAI6   SampleAG6  SampleAI6  MHS  0.976396  0.994295   98.0  0.012518  0.000000  0.976396  1.108615e-02     False
  SampleAH1_SampleAN3   SampleAN3  SampleAH1  MHS  0.950280  0.987746   92.0  0.014851  0.000000  0.950280  3.486866e-02     False
  SampleAH0_SampleAO0   SampleAO0  SampleAH0  PHS  0.631414  0.931822   71.0  0.048979  0.000000  0.319607  6.314138e-01     False
  SampleAH0_SampleAV1   SampleAV1  SampleAH0   AV  0.971554  0.805358   72.0  0.971554  0.000000  0.014055  1.439087e-02     False
  SampleAH1_SampleAV1   SampleAV1  SampleAH1  MHS  0.914590  0.955534   97.0  0.074393  0.000000  0.914590  1.101693e-02     False
  SampleAH0_SampleAY2   SampleAH0  SampleAY2  MHS  0.917422  0.956202   99.0  0.075145  0.000000  0.917422  7.433811e-03     False
  SampleAH3_SampleAI1   SampleAH3  SampleAI1  MHS  0.898736  0.991417   87.0  0.010672  0.000000  0.898736  9.059242e-02     False
  SampleAH3_SampleAQ3   SampleAH3  SampleAQ3   AV  0.999407  0.744862   88.0  0.999407  0.000000  0.000573  1.939515e-05     False
  SampleAI1_SampleAJ2   SampleAJ2  SampleAI1  MHS  0.879970  0.950928   90.0  0.077918  0.000000  0.879970  4.211208e-02     False
  SampleAI1_SampleAO2   SampleAO2  SampleAI1   AV  0.530839  0.898811   93.0  0.530839  0.000000  0.459159  1.000227e-02     False
  SampleAJ4_SampleAO6   SampleAJ4  SampleAO6   AV  1.000000  0.824143   70.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAJ2_SampleAQ3   SampleAJ2  SampleAQ3   AV  0.988831  0.809347   95.0  0.988831  0.000000  0.011052  1.168680e-04     False
  SampleAJ5_SampleAO6   SampleAJ5  SampleAO6   AV  1.000000  0.837526   68.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAK0_SampleAT3   SampleAK0  SampleAT3  MHS  0.919593  0.978638   89.0  0.021016  0.000000  0.919593  5.939118e-02     False
  SampleAK1_SampleAV0   SampleAV0  SampleAK1   AV  0.834454  0.854024   77.0  0.834454  0.000000  0.114134  5.141247e-02     False
  SampleAK0_SampleAX0   SampleAK0  SampleAX0  MHS  0.934459  0.986950   90.0  0.014592  0.000000  0.934459  5.094882e-02     False
  SampleAK2_SampleAP3   SampleAK2  SampleAP3   AV  0.995930  0.786391   91.0  0.995930  0.000000  0.003984  8.608613e-05     False
  SampleAK6_SampleAT6   SampleAT6  SampleAK6  MHS  0.668619  0.981177   79.0  0.011118  0.000000  0.668619  3.202628e-01     False
  SampleAK2_SampleAU1   SampleAK2  SampleAU1  MHS  0.432286  0.898382   78.0  0.380410  0.000000  0.432286  1.873037e-01     False
  SampleAL2_SampleAR1   SampleAL2  SampleAR1  MHS  0.898305  0.989197   87.0  0.011871  0.000000  0.898305  8.982420e-02     False
  SampleAL3_SampleAS1   SampleAS1  SampleAL3  MHS  0.839282  0.939064   93.0  0.139567  0.000000  0.839282  2.115102e-02     False
