         PAIR_ID  YOUNGER    OLDER  REL      PROB       HSR     N        AV        GP       MHS       PHS  AV_ERROR
   HMB007_HMB041   HMB041   HMB007  PHS  0.761950  0.903320  42.0  0.011736  0.226314  0.000000  0.761950     False
   HMB001_HMB062   HMB062   HMB001   AV  0.828062  0.972712  62.0  0.828062  0.000029  0.000000  0.171909     False
   HMB008_HMB154   HMB008   HMB154  MHS  0.885037  0.964417  59.0  0.075053  0.000000  0.885037  0.039910     False
   HMB007_HMB162   HMB162   HMB007  PHS  0.572327  0.907222  35.0  0.000342  0.427331  0.000000  0.572327     False
   HMB007_HMB301   HMB301   HMB007  MHS  0.810590  0.998491  55.0  0.009099  0.000000  0.810590  0.180311     False
   HMB007_HMB442   HMB442   HMB007   GP  0.999725  0.882897  32.0  0.000275  0.999725  0.000000  0.000000     False
  HMB003_HMB2093  HMB2093   HMB003  MHS  0.841643  0.949296  60.0  0.137104  0.000000  0.841643  0.021253     False
  HMB007_HMB3071  HMB3071   HMB007  PHS  0.610840  0.895445  40.0  0.005575  0.383585  0.000000  0.610840     False
  HMB007_HMB3092  HMB3092   HMB007   AV  0.554340  0.850678  48.0  0.554340  0.317202  0.000000  0.128458     False
   HMB014_HMB041   HMB041   HMB014   AV  1.000000  0.759762  58.0  1.000000  0.000000  0.000000  0.000000     False
   HMB012_HMB115   HMB115   HMB012   GP  0.714003  0.838240  26.0  0.000083  0.714003  0.000000  0.285914     False
   HMB015_HMB122   HMB015   HMB122  PHS  0.999789  0.993131  41.0  0.000211  0.000000  0.000000  0.999789     False
   HMB014_HMB442   HMB442   HMB014   AV  1.000000  0.812950  50.0  1.000000  0.000000  0.000000  0.000000     False
   HMB015_HMB678   HMB015   HMB678  PHS  0.631291  0.879210  47.0  0.368709  0.000000  0.000000  0.631291     False
   HMB015_HMB934   HMB934   HMB015  MHS  0.994105  0.993209  51.0  0.005895  0.000000  0.994105  0.000000     False
   HMB015_HMB941   HMB941   HMB015  PHS  0.999507  0.979898  42.0  0.000493  0.000000  0.000000  0.999507     False
  HMB010_HMB3000   HMB010  HMB3000   GP  0.972845  0.701480  23.0  0.001931  0.972845  0.000000  0.025224     False
  HMB015_HMB3083  HMB3083   HMB015  PHS  0.895373  0.927561  49.0  0.104627  0.000000  0.000000  0.895373     False
   HMB018_HMB040   HMB018   HMB040  PHS  0.978814  0.967140  39.0  0.000255  0.000000  0.020931  0.978814     False
   HMB020_HMB041   HMB041   HMB020   GP  0.940576  0.796623  41.0  0.043629  0.940576  0.000000  0.015795     False
   HMB022_HMB041   HMB041   HMB022   AV  1.000000  0.749809  57.0  1.000000  0.000000  0.000000  0.000000     False
   HMB021_HMB042   HMB042   HMB021   AV  0.958575  0.862441  53.0  0.958575  0.000000  0.000000  0.041425     False
   HMB024_HMB172   HMB172   HMB024   AV  0.709056  0.852719  58.0  0.709056  0.000000  0.288078  0.002866     False
   HMB024_HMB328   HMB328   HMB024   GP  0.981432  0.698076  26.0  0.005292  0.981432  0.000000  0.013276     False
   HMB024_HMB413   HMB413   HMB024   GP  0.855859  0.822002  30.0  0.000530  0.855859  0.000000  0.143612     False
   HMB024_HMB773   HMB773   HMB024   GP  0.975845  0.743539  32.0  0.009297  0.975845  0.000000  0.014858     False
   HMB025_HMB773   HMB773   HMB025   AV  1.000000  0.986655  57.0  1.000000  0.000000  0.000000  0.000000     False
  HMB024_HMB2212  HMB2212   HMB024   GP  0.971678  0.753003  31.0  0.005294  0.971678  0.000000  0.023028     False
  HMB021_HMB3049  HMB3049   HMB021  PHS  0.557117  0.927460  53.0  0.436668  0.006216  0.000000  0.557117     False
  HMB020_HMB3065  HMB3065   HMB020  PHS  0.503364  0.880500  43.0  0.040445  0.456191  0.000000  0.503364     False
  HMB024_HMB3069  HMB3069   HMB024   GP  0.756322  0.771263  45.0  0.240081  0.756322  0.000000  0.003597     False
  HMB024_HMB3071  HMB3071   HMB024   GP  0.843408  0.743176  42.0  0.154481  0.843408  0.000000  0.002111     False
  HMB025_HMB3069  HMB3069   HMB025   AV  1.000000  0.823843  59.0  1.000000  0.000000  0.000000  0.000000     False
   HMB029_HMB030   HMB029   HMB030  MHS  0.665932  0.924783  63.0  0.329336  0.000000  0.665932  0.004732     False
   HMB027_HMB050   HMB050   HMB027  MHS  0.931345  0.961186  58.0  0.068655  0.000000  0.931345  0.000000     False
   HMB027_HMB060   HMB027   HMB060  PHS  0.840598  0.992085  44.0  0.000553  0.000000  0.158849  0.840598     False
   HMB031_HMB061   HMB061   HMB031   AV  0.995031  0.857986  58.0  0.995031  0.000000  0.000000  0.004969     False
   HMB031_HMB071   HMB031   HMB071   AV  0.992753  0.850409  56.0  0.992753  0.000000  0.000000  0.007247     False
   HMB031_HMB170   HMB031   HMB170   AV  0.974847  0.895301  58.0  0.974847  0.000000  0.000000  0.025153     False
   HMB028_HMB372   HMB028   HMB372  PHS  0.999954  0.956579  33.0  0.000046  0.000000  0.000000  0.999954     False
   HMB027_HMB385   HMB027   HMB385   AV  0.923237  0.789708  59.0  0.923237  0.000000  0.076429  0.000334     False
  HMB027_HMB2256  HMB2256   HMB027  PHS  0.961140  0.983586  40.0  0.000199  0.000000  0.038661  0.961140     False
   HMB034_HMB095   HMB034   HMB095  MHS  0.856217  0.940769  55.0  0.071865  0.000000  0.856217  0.071918     False
   HMB041_HMB308   HMB041   HMB308   AV  1.000000  0.759026  59.0  1.000000  0.000000  0.000000  0.000000     False
   HMB034_HMB411   HMB411   HMB034  MHS  0.874423  0.956693  59.0  0.092589  0.000000  0.874423  0.032988     False
   HMB041_HMB442   HMB442   HMB041  MHS  0.991938  0.989331  52.0  0.008062  0.000000  0.991938  0.000000     False
   HMB039_HMB500   HMB039   HMB500   AV  1.000000  0.963090  54.0  1.000000  0.000000  0.000000  0.000000     False
   HMB041_HMB972   HMB041   HMB972   AV  1.000000  0.797326  54.0  1.000000  0.000000  0.000000  0.000000     False
   HMB041_HMB975   HMB041   HMB975   AV  1.000000  0.771063  47.0  1.000000  0.000000  0.000000  0.000000     False
  HMB037_HMB1074  HMB1074   HMB037   AV  1.000000  0.825842  49.0  1.000000  0.000000  0.000000  0.000000     False
  HMB041_HMB1047  HMB1047   HMB041  PHS  0.999966  0.997762  36.0  0.000034  0.000000  0.000000  0.999966     False
  HMB037_HMB1075  HMB1075   HMB037   AV  1.000000  0.853874  55.0  1.000000  0.000000  0.000000  0.000000     False
  HMB037_HMB3017  HMB3017   HMB037   AV  1.000000  0.737600  56.0  1.000000  0.000000  0.000000  0.000000     False
  HMB036_HMB3038   HMB036  HMB3038  PHS  0.991651  0.980154  49.0  0.008349  0.000000  0.000000  0.991651     False
  HMB040_HMB3055  HMB3055   HMB040   AV  0.588270  0.853555  46.0  0.588270  0.000000  0.000000  0.411730     False
  HMB037_HMB3123  HMB3123   HMB037   AV  1.000000  0.809264  58.0  1.000000  0.000000  0.000000  0.000000     False
   HMB042_HMB156   HMB042   HMB156   AV  0.900054  0.907015  56.0  0.900054  0.002293  0.000000  0.097653     False
   HMB047_HMB147   HMB147   HMB047  PHS  0.999993  0.996753  31.0  0.000007  0.000000  0.000000  0.999993     False
   HMB044_HMB179   HMB044   HMB179  PHS  0.984919  0.987377  37.0  0.000064  0.000000  0.015017  0.984919     False
   HMB049_HMB494   HMB049   HMB494  PHS  0.999748  0.988116  41.0  0.000252  0.000000  0.000000  0.999748     False
   HMB049_HMB495   HMB495   HMB049  PHS  0.999918  0.990352  38.0  0.000082  0.000000  0.000000  0.999918     False
   HMB049_HMB750   HMB750   HMB049   GP  0.969926  0.767326  33.0  0.006573  0.969926  0.000000  0.023501     False
   HMB045_HMB992   HMB992   HMB045  PHS  0.999762  0.999912  42.0  0.000238  0.000000  0.000000  0.999762     False
  HMB047_HMB2300  HMB2300   HMB047  PHS  0.993482  0.961000  36.0  0.000110  0.000000  0.006408  0.993482     False
  HMB049_HMB2981  HMB2981   HMB049   GP  0.975009  0.739593  30.0  0.005658  0.975009  0.000000  0.019333     False
  HMB049_HMB3102  HMB3102   HMB049   GP  0.917277  0.829209  36.0  0.003399  0.917277  0.000000  0.079324     False
   HMB050_HMB060   HMB050   HMB060  MHS  0.989026  0.975000  50.0  0.010974  0.000000  0.989026  0.000000     False
   HMB055_HMB071   HMB055   HMB071   AV  0.910278  0.751858  63.0  0.910278  0.000000  0.089672  0.000050     False
   HMB055_HMB170   HMB055   HMB170   AV  0.580435  0.778877  71.0  0.580435  0.000000  0.419551  0.000015     False
   HMB058_HMB789   HMB789   HMB058  MHS  0.808907  0.999186  55.0  0.008882  0.000000  0.808907  0.182211     False
  HMB058_HMB3001  HMB3001   HMB058  PHS  0.594407  0.938554  29.0  0.000013  0.405581  0.000000  0.594407     False
  HMB056_HMB3069  HMB3069   HMB056   GP  0.596006  0.842459  46.0  0.291395  0.596006  0.000000  0.112599     False
   HMB060_HMB062   HMB062   HMB060  PHS  0.665556  0.937259  47.0  0.018519  0.000000  0.315925  0.665556     False
   HMB065_HMB070   HMB065   HMB070  PHS  0.999971  0.981201  34.0  0.000029  0.000000  0.000000  0.999971     False
   HMB061_HMB301   HMB061   HMB301   GP  0.970592  0.734553  34.0  0.021452  0.970592  0.000000  0.007956     False
   HMB060_HMB433   HMB060   HMB433  PHS  0.797144  0.985619  45.0  0.000998  0.000000  0.201858  0.797144     False
   HMB062_HMB433   HMB062   HMB433  PHS  0.747371  0.970198  46.0  0.002737  0.000000  0.249891  0.747371     False
   HMB059_HMB644   HMB644   HMB059  PHS  0.888192  0.936867  50.0  0.102352  0.009456  0.000000  0.888192     False
   HMB063_HMB644   HMB644   HMB063   AV  0.999390  0.835881  63.0  0.999390  0.000000  0.000000  0.000610     False
   HMB065_HMB644   HMB644   HMB065   AV  0.998247  0.830616  58.0  0.998247  0.000000  0.000000  0.001753     False
  HMB060_HMB1074  HMB1074   HMB060   GP  0.709386  0.872628  33.0  0.000351  0.709386  0.000000  0.290263     False
  HMB060_HMB1075  HMB1075   HMB060  PHS  0.593202  0.913213  34.0  0.000185  0.406612  0.000000  0.593202     False
  HMB059_HMB2160  HMB2160   HMB059   GP  0.953934  0.808569  37.0  0.007976  0.953934  0.000000  0.038090     False
  HMB063_HMB2160  HMB2160   HMB063   AV  0.999481  0.808766  60.0  0.999481  0.000000  0.000000  0.000519     False
  HMB065_HMB2160  HMB2160   HMB065   AV  0.997916  0.779049  51.0  0.997916  0.000000  0.000000  0.002084     False
  HMB059_HMB2177   HMB059  HMB2177  MHS  0.513343  0.908503  71.0  0.486191  0.000000  0.513343  0.000466     False
  HMB060_HMB2916  HMB2916   HMB060   GP  0.864303  0.847069  40.0  0.013753  0.864303  0.000000  0.121944     False
  HMB067_HMB2976  HMB2976   HMB067   GP  0.618716  0.729554  46.0  0.381284  0.618716  0.000000  0.000000     False
  HMB067_HMB2998  HMB2998   HMB067   GP  0.785097  0.698659  40.0  0.214903  0.785097  0.000000  0.000000     False
  HMB059_HMB3012   HMB059  HMB3012  PHS  0.953773  0.994050  40.0  0.000138  0.000000  0.046089  0.953773     False
  HMB060_HMB3017  HMB3017   HMB060  PHS  0.508543  0.892475  38.0  0.002171  0.489287  0.000000  0.508543     False
  HMB060_HMB3041  HMB3041   HMB060   GP  0.921320  0.787423  29.0  0.001071  0.921320  0.000000  0.077609     False
