               PAIR_ID        IID1        H1        IID2        H2       HSR   N
   SampleAA0_SampleAA1   SampleAA0  0.775219   SampleAA1  0.913153  0.848947  20
   SampleAA0_SampleAA3   SampleAA0  0.752276   SampleAA3  0.786120  0.956948  38
   SampleAA0_SampleAA4   SampleAA0  0.805647   SampleAA4  0.997594  0.807590  39
   SampleAA0_SampleAA5   SampleAA0  0.812246   SampleAA5  0.954684  0.850801  38
   SampleAA0_SampleAA6   SampleAA0  0.834656   SampleAA6  0.862319  0.967920  31
   SampleAA0_SampleAA7   SampleAA0  0.884644   SampleAA7  0.801179  0.905652  19
   SampleAA1_SampleAA3   SampleAA1  0.776925   SampleAA3  0.829663  0.936434  28
   SampleAA1_SampleAA4   SampleAA1  0.785161   SampleAA4  0.886686  0.885501  23
   SampleAA1_SampleAA5   SampleAA1  0.790367   SampleAA5  0.903237  0.875039  20
   SampleAA1_SampleAA6   SampleAA1  0.797821   SampleAA6  0.796503  0.998348  24
   SampleAA1_SampleAA7   SampleAA1  0.890841   SampleAA7  0.950760  0.936979  44
   SampleAA3_SampleAA4   SampleAA3  0.747748   SampleAA4  0.793865  0.941907  29
   SampleAA3_SampleAA5   SampleAA3  0.732449   SampleAA5  0.786302  0.931511  30
   SampleAA3_SampleAA6   SampleAA3  0.718967   SampleAA6  0.841175  0.854718  29
   SampleAA3_SampleAA7   SampleAA3  0.815622   SampleAA7  0.918829  0.887675  24
   SampleAA4_SampleAA5   SampleAA4  0.654039   SampleAA5  0.645788  0.987384  42
   SampleAA4_SampleAA6   SampleAA4  0.803048   SampleAA6  0.792370  0.986704  25
   SampleAA4_SampleAA7   SampleAA4  0.941320   SampleAA7  0.914780  0.971806  62
   SampleAA5_SampleAA6   SampleAA5  0.762889   SampleAA6  0.756020  0.990996  24
   SampleAA5_SampleAA7   SampleAA5  0.965195   SampleAA7  0.905200  0.937841  54
   SampleAA6_SampleAA7   SampleAA6  0.781973   SampleAA7  0.892123  0.876530  22
   SampleAA0_SampleAA8   SampleAA0  0.758236   SampleAA8  0.732205  0.965669  14
   SampleAA0_SampleAA9   SampleAA0  0.797832   SampleAA9  0.837073  0.953121  40
  SampleAA0_SampleAA10   SampleAA0  0.799135  SampleAA10  0.910147  0.878029  25
