              PAIR_ID        IID1        H1       IID2        H2       HSR      N  AGE1  AGE2     PARENT       CHILD METHOD   STRENGTH
  SampleAA1_SampleAA7   SampleAA1  0.852588  SampleAA7  0.962190  0.886091   75.0  75.0    50  SampleAA1   SampleAA7    AGE  25.000000
  SampleAA1_SampleAA8   SampleAA1  0.745101  SampleAA8  0.979806  0.760457   83.0  75.0    50  SampleAA1   SampleAA8    AGE  25.000000
  SampleAA3_SampleAA9   SampleAA3  0.719165  SampleAA9  0.879928  0.817300   82.0  75.0    25  SampleAA3   SampleAA9    AGE  50.000000
  SampleAA4_SampleAA9   SampleAA4  0.750959  SampleAA9  0.894919  0.839136   82.0  50.0    25  SampleAA4   SampleAA9    AGE  25.000000
 SampleAA10_SampleAA6  SampleAA10  0.971479  SampleAA6  0.734232  0.755788   71.0  25.0    50  SampleAA6  SampleAA10    AGE  25.000000
 SampleAA10_SampleAA7  SampleAA10  0.958096  SampleAA7  0.690276  0.720466   71.0  25.0    50  SampleAA7  SampleAA10    AGE  25.000000
  SampleAA6_SampleAU3   SampleAA6  0.656970  SampleAU3  0.941291  0.697945   99.0  50.0    75  SampleAU3   SampleAA6    AGE  25.000000
  SampleAB0_SampleAB4   SampleAB0  0.741361  SampleAB4  0.954572  0.776643   91.0  75.0    50  SampleAB0   SampleAB4    AGE  25.000000
  SampleAB2_SampleAB4   SampleAB2  0.721475  SampleAB4  0.971528  0.742619   88.0  75.0    50  SampleAB2   SampleAB4    AGE  25.000000
  SampleAB0_SampleAB5   SampleAB0  0.757167  SampleAB5  0.986280  0.767701   90.0  75.0    50  SampleAB0   SampleAB5    AGE  25.000000
  SampleAB1_SampleAB7   SampleAB1  0.733830  SampleAB7  0.989038  0.741963   84.0  75.0    50  SampleAB1   SampleAB7    AGE  25.000000
  SampleAB1_SampleAB8   SampleAB1  0.741064  SampleAB8  0.970916  0.763262   85.0  75.0    50  SampleAB1   SampleAB8    AGE  25.000000
  SampleAB2_SampleAB5   SampleAB2  0.759429  SampleAB5  0.988111  0.768567   63.0  75.0    50  SampleAB2   SampleAB5    AGE  25.000000
  SampleAB2_SampleAB7   SampleAB2  0.761213  SampleAB7  0.989940  0.768949   76.0  75.0    50  SampleAB2   SampleAB7    AGE  25.000000
  SampleAB2_SampleAB8   SampleAB2  0.761818  SampleAB8  0.969660  0.785655   69.0  75.0    50  SampleAB2   SampleAB8    AGE  25.000000
  SampleAB3_SampleAB9   SampleAB3  0.729186  SampleAB9  0.988854  0.737406  129.0  75.0    25  SampleAB3   SampleAB9    AGE  50.000000
  SampleAB4_SampleAB9   SampleAB4  0.847857  SampleAB9  0.991369  0.855239   65.0  50.0    25  SampleAB4   SampleAB9    AGE  25.000000
 SampleAB10_SampleAB6  SampleAB10  0.956798  SampleAB6  0.730092  0.763058   90.0  25.0    50  SampleAB6  SampleAB10    AGE  25.000000
 SampleAB10_SampleAB7  SampleAB10  0.956306  SampleAB7  0.759867  0.794585   62.0  25.0    50  SampleAB7  SampleAB10    AGE  25.000000
  SampleAC0_SampleAC4   SampleAC0  0.782916  SampleAC4  0.976129  0.802062   91.0  75.0    50  SampleAC0   SampleAC4    AGE  25.000000
  SampleAC0_SampleAC5   SampleAC0  0.795556  SampleAC5  0.935064  0.850804   73.0  75.0    50  SampleAC0   SampleAC5    AGE  25.000000
  SampleAC1_SampleAC7   SampleAC1  0.809625  SampleAC7  0.998983  0.810449   79.0  75.0    50  SampleAC1   SampleAC7    AGE  25.000000
  SampleAC1_SampleAC8   SampleAC1  0.781025  SampleAC8  0.994661  0.785218   71.0  75.0    50  SampleAC1   SampleAC8    AGE  25.000000
  SampleAC1_SampleAU2   SampleAC1  0.885719  SampleAU2  0.663938  0.749603  104.0  75.0    75  SampleAU2   SampleAU2    AGE   0.000000
  SampleAC2_SampleAC4   SampleAC2  0.692210  SampleAC4  0.965468  0.716969   81.0  75.0    50  SampleAC2   SampleAC4    AGE  25.000000
  SampleAC2_SampleAC5   SampleAC2  0.698401  SampleAC5  0.925683  0.754471   86.0  75.0    50  SampleAC2   SampleAC5    AGE  25.000000
  SampleAC2_SampleAC7   SampleAC2  0.658024  SampleAC7  0.997027  0.659986   75.0  75.0    50  SampleAC2   SampleAC7    AGE  25.000000
  SampleAC2_SampleAC8   SampleAC2  0.648829  SampleAC8  0.992569  0.653686   77.0  75.0    50  SampleAC2   SampleAC8    AGE  25.000000
  SampleAC3_SampleAC9   SampleAC3  0.690466  SampleAC9  0.968878  0.712645  112.0  75.0    25  SampleAC3   SampleAC9    AGE  50.000000
  SampleAC4_SampleAC9   SampleAC4  0.748868  SampleAC9  0.980605  0.763680   82.0  50.0    25  SampleAC4   SampleAC9    AGE  25.000000
 SampleAC10_SampleAC6  SampleAC10  0.964695  SampleAC6  0.741281  0.768409   76.0  25.0    50  SampleAC6  SampleAC10    AGE  25.000000
 SampleAC10_SampleAC7  SampleAC10  0.979134  SampleAC7  0.787911  0.804702   73.0  25.0    50  SampleAC7  SampleAC10    AGE  25.000000
  SampleAC6_SampleAY0   SampleAC6  0.698540  SampleAY0  0.926774  0.753733   91.0  50.0    75  SampleAY0   SampleAC6    AGE  25.000000
  SampleAD0_SampleAD4   SampleAD0  0.832221  SampleAD4  0.978204  0.850764   89.0  75.0    50  SampleAD0   SampleAD4    AGE  25.000000
  SampleAD0_SampleAD5   SampleAD0  0.701309  SampleAD5  0.984411  0.712415   82.0  75.0    50  SampleAD0   SampleAD5    AGE  25.000000
  SampleAD2_SampleAD4   SampleAD2  0.774879  SampleAD4  0.995922  0.778051   67.0  75.0    50  SampleAD2   SampleAD4    AGE  25.000000
  SampleAD2_SampleAD5   SampleAD2  0.745090  SampleAD5  0.992769  0.750517   70.0  75.0    50  SampleAD2   SampleAD5    AGE  25.000000
  SampleAD1_SampleAD7   SampleAD1  0.700355  SampleAD7  0.964445  0.726174   82.0  75.0    50  SampleAD1   SampleAD7    AGE  25.000000
  SampleAD1_SampleAD8   SampleAD1  0.689253  SampleAD8  0.988445  0.697310   79.0  75.0    50  SampleAD1   SampleAD8    AGE  25.000000
  SampleAD2_SampleAD7   SampleAD2  0.801760  SampleAD7  0.977688  0.820057   77.0  75.0    50  SampleAD2   SampleAD7    AGE  25.000000
  SampleAD2_SampleAD8   SampleAD2  0.808248  SampleAD8  0.994361  0.812831   72.0  75.0    50  SampleAD2   SampleAD8    AGE  25.000000
  SampleAD3_SampleAD9   SampleAD3  0.767522  SampleAD9  0.964184  0.796033   73.0  75.0    25  SampleAD3   SampleAD9    AGE  50.000000
  SampleAD4_SampleAD9   SampleAD4  0.643076  SampleAD9  0.978425  0.657257   83.0  50.0    25  SampleAD4   SampleAD9    AGE  25.000000
 SampleAD10_SampleAD6  SampleAD10  0.984811  SampleAD6  0.789244  0.801417   81.0  25.0    50  SampleAD6  SampleAD10    AGE  25.000000
  SampleAD1_SampleAF6   SampleAD1  0.773604  SampleAF6  0.884395  0.874726   92.0  75.0    50  SampleAD1   SampleAF6    AGE  25.000000
  SampleAD6_SampleAR0   SampleAD6  0.732510  SampleAR0  0.926231  0.790851   93.0  50.0    75  SampleAR0   SampleAD6    AGE  25.000000
  SampleAD6_SampleAZ6   SampleAD6  0.695896  SampleAZ6  0.885325  0.786034   97.0  50.0    50  SampleAZ6   SampleAZ6    AGE   0.000000
 SampleAD10_SampleAD7  SampleAD10  0.986838  SampleAD7  0.703128  0.712506   75.0  25.0    50  SampleAD7  SampleAD10    AGE  25.000000
  SampleAE0_SampleAE4   SampleAE0  0.777710  SampleAE4  0.994766  0.781802   89.0  75.0    50  SampleAE0   SampleAE4    AGE  25.000000
  SampleAE0_SampleAE5   SampleAE0  0.687298  SampleAE5  0.992435  0.692538   91.0  75.0    50  SampleAE0   SampleAE5    AGE  25.000000
  SampleAE1_SampleAE7   SampleAE1  0.748036  SampleAE7  0.988954  0.756391   80.0  75.0    50  SampleAE1   SampleAE7    AGE  25.000000
  SampleAE1_SampleAE8   SampleAE1  0.795833  SampleAE8  0.964979  0.824715   85.0  75.0    50  SampleAE1   SampleAE8    AGE  25.000000
  SampleAE2_SampleAE4   SampleAE2  0.683718  SampleAE4  0.989729  0.690814   74.0  75.0    50  SampleAE2   SampleAE4    AGE  25.000000
  SampleAE2_SampleAE5   SampleAE2  0.706616  SampleAE5  0.990745  0.713217   59.0  75.0    50  SampleAE2   SampleAE5    AGE  25.000000
  SampleAE2_SampleAE7   SampleAE2  0.691438  SampleAE7  0.997315  0.693299   94.0  75.0    50  SampleAE2   SampleAE7    AGE  25.000000
  SampleAE2_SampleAE8   SampleAE2  0.682036  SampleAE8  0.965197  0.706629   82.0  75.0    50  SampleAE2   SampleAE8    AGE  25.000000
  SampleAE3_SampleAE9   SampleAE3  0.752054  SampleAE9  0.972066  0.773665   87.0  75.0    25  SampleAE3   SampleAE9    AGE  50.000000
  SampleAE4_SampleAE9   SampleAE4  0.727852  SampleAE9  0.993621  0.732525   88.0  50.0    25  SampleAE4   SampleAE9    AGE  25.000000
 SampleAE10_SampleAE6  SampleAE10  0.987808  SampleAE6  0.721982  0.730894   91.0  25.0    50  SampleAE6  SampleAE10    AGE  25.000000
 SampleAE10_SampleAE7  SampleAE10  0.991180  SampleAE7  0.785998  0.792992   70.0  25.0    50  SampleAE7  SampleAE10    AGE  25.000000
  SampleAF0_SampleAF4   SampleAF0  0.725582  SampleAF4  0.964186  0.752533   81.0  75.0    50  SampleAF0   SampleAF4    AGE  25.000000
