              PAIR_ID     YOUNGER      OLDER  REL      PROB       HSR      N        AV        GP       MHS           PHS  AV_ERROR
  SampleAA4_SampleAA7   SampleAA7  SampleAA7  MHS  0.988262  0.994599   93.0  0.011738  0.000000  0.988262  0.000000e+00     False
  SampleAA5_SampleAA7   SampleAA7  SampleAA7  MHS  0.991026  0.996636   87.0  0.008974  0.000000  0.991026  0.000000e+00     False
  SampleAA4_SampleAA8   SampleAA8  SampleAA8  MHS  0.990241  0.996688   90.0  0.009759  0.000000  0.990241  0.000000e+00     False
  SampleAA5_SampleAA8   SampleAA8  SampleAA8  MHS  0.932719  0.954283   89.0  0.067281  0.000000  0.932719  0.000000e+00     False
  SampleAA6_SampleAD3   SampleAA6  SampleAD3   AV  0.908341  0.836660   77.0  0.908341  0.000000  0.065858  2.580089e-02      True
  SampleAA1_SampleAK2   SampleAK2  SampleAK2   AV  0.815346  0.871993   96.0  0.815346  0.000000  0.183191  1.463198e-03     False
  SampleAA6_SampleAU9   SampleAU9  SampleAA6   AV  1.000000  0.729771   79.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAB0_SampleAB1   SampleAB1  SampleAB1  MHS  0.932567  0.962785   94.0  0.051883  0.000000  0.932567  1.555007e-02     False
  SampleAB2_SampleAB9   SampleAB9  SampleAB2   GP  0.998120  0.775590   59.0  0.001880  0.998120  0.000000  0.000000e+00     False
 SampleAA10_SampleAU3  SampleAA10  SampleAU3   AV  0.721923  0.976832   78.0  0.721923  0.278077  0.000000  0.000000e+00     False
  SampleAC0_SampleAJ3   SampleAJ3  SampleAJ3   AV  0.908809  0.845900   84.0  0.908809  0.000000  0.083497  7.694358e-03     False
  SampleAB6_SampleAR6   SampleAR6  SampleAR6  MHS  0.833464  0.976245   83.0  0.017747  0.000000  0.833464  1.487891e-01     False
  SampleAC1_SampleAU4   SampleAU4  SampleAC1   AV  1.000000  0.915205   84.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAC1_SampleAU5   SampleAU5  SampleAC1   AV  1.000000  0.919712   75.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAC1_SampleAU7   SampleAU7  SampleAC1   AV  1.000000  0.911476   87.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAC1_SampleAU8   SampleAU8  SampleAC1   AV  1.000000  0.893761   80.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAC6_SampleAD0   SampleAC6  SampleAD0   AV  0.999576  0.730841   83.0  0.999576  0.000000  0.000394  3.017181e-05      True
  SampleAC2_SampleAP6   SampleAP6  SampleAC2   AV  0.993099  0.791041   85.0  0.993099  0.000000  0.006500  4.012410e-04     False
  SampleAC4_SampleAQ2   SampleAC4  SampleAQ2   AV  1.000000  0.773025   85.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAC2_SampleAQ8   SampleAQ8  SampleAC2   AV  1.000000  0.817252   98.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAC6_SampleAR6   SampleAR6  SampleAR6   AV  0.986683  0.811518   94.0  0.986683  0.000000  0.013187  1.304402e-04     False
  SampleAC7_SampleAU2   SampleAC7  SampleAU2   AV  1.000000  0.686054   92.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAC8_SampleAU2   SampleAC8  SampleAU2   AV  1.000000  0.727384   76.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAC6_SampleAY4   SampleAY4  SampleAY4   AV  1.000000  0.723572   74.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAC6_SampleAY5   SampleAY5  SampleAY5   AV  1.000000  0.730370   84.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAD5_SampleAD8   SampleAD8  SampleAD8   AV  1.000000  0.985473   75.0  1.000000  0.000000  0.000000  0.000000e+00     False
 SampleAD1_SampleAF10  SampleAF10  SampleAD1   AV  0.999471  0.841768   98.0  0.999471  0.000529  0.000000  0.000000e+00     False
  SampleAD1_SampleAR1   SampleAR1  SampleAR1   AV  0.939538  0.842951   92.0  0.939538  0.000000  0.059461  1.000386e-03     False
  SampleAD6_SampleAR4   SampleAR4  SampleAR4   AV  1.000000  0.818594   78.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAD6_SampleAR5   SampleAR5  SampleAR5   AV  1.000000  0.898023   76.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAD2_SampleAS6   SampleAS6  SampleAD2  MHS  0.888514  0.950661   90.0  0.078402  0.000000  0.888514  3.308368e-02     False
  SampleAD3_SampleAU3   SampleAU3  SampleAU3   AV  0.899444  0.858452   98.0  0.899444  0.000000  0.100056  4.998101e-04     False
  SampleAD6_SampleAW2   SampleAD6  SampleAW2   AV  0.996916  0.771312   82.0  0.996916  0.000000  0.002782  3.023916e-04      True
 SampleAC10_SampleAY0  SampleAC10  SampleAY0   AV  0.858407  0.908800   81.0  0.858407  0.141593  0.000000  0.000000e+00     False
  SampleAD6_SampleAY2   SampleAD6  SampleAY2   AV  0.865467  0.888036  135.0  0.865467  0.000000  0.134533  2.994410e-07      True
 SampleAD6_SampleAZ10  SampleAZ10  SampleAD6   AV  1.000000  0.744806   71.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAD7_SampleAF6   SampleAF6  SampleAF6   AV  1.000000  0.877794   90.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAD8_SampleAF6   SampleAF6  SampleAF6   AV  1.000000  0.907840  105.0  1.000000  0.000000  0.000000  0.000000e+00     False
 SampleAD7_SampleAF10  SampleAF10  SampleAD7   AV  1.000000  0.920666   78.0  1.000000  0.000000  0.000000  0.000000e+00      True
  SampleAE2_SampleAI6   SampleAI6  SampleAE2  MHS  0.780872  0.947621   82.0  0.063130  0.000000  0.780872  1.559979e-01     False
 SampleAD10_SampleAR0  SampleAD10  SampleAR0   AV  0.930575  0.941052   83.0  0.930575  0.069425  0.000000  0.000000e+00     False
 SampleAD10_SampleAZ6  SampleAD10  SampleAZ6   AV  1.000000  0.932803   77.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAF6_SampleAH0   SampleAF6  SampleAH0   AV  0.543355  0.842979   65.0  0.543355  0.000000  0.075416  3.812291e-01     False
  SampleAF4_SampleAJ6   SampleAJ6  SampleAJ6   AV  1.000000  0.993597   94.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAF5_SampleAJ6   SampleAJ6  SampleAJ6   AV  1.000000  0.989484   95.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAF6_SampleAO0   SampleAF6  SampleAO0  MHS  0.922708  0.979607   88.0  0.019356  0.000000  0.922708  5.793578e-02     False
  SampleAF7_SampleAT3   SampleAF7  SampleAT3   AV  1.000000  0.994037  105.0  1.000000  0.000000  0.000000  0.000000e+00      True
  SampleAF8_SampleAT3   SampleAF8  SampleAT3   AV  1.000000  0.986426   84.0  1.000000  0.000000  0.000000  0.000000e+00      True
  SampleAF1_SampleAT9   SampleAT9  SampleAF1   AV  0.995362  0.814888   92.0  0.995362  0.004638  0.000000  0.000000e+00     False
  SampleAF2_SampleAV6   SampleAV6  SampleAF2  PHS  0.743339  0.989887   70.0  0.001942  0.000000  0.254719  7.433391e-01     False
  SampleAG1_SampleAN0   SampleAN0  SampleAN0   AV  0.994383  0.788341   87.0  0.994383  0.000000  0.005400  2.164295e-04     False
  SampleAG3_SampleAO1   SampleAO1  SampleAO1  MHS  0.970407  0.982684  101.0  0.025644  0.000000  0.970407  3.948754e-03     False
  SampleAG3_SampleAV3   SampleAV3  SampleAV3   AV  0.997867  0.772849   94.0  0.997867  0.000000  0.002115  1.830344e-05     False
  SampleAG3_SampleAY1   SampleAY1  SampleAY1   AV  0.853948  0.868006   99.0  0.853948  0.000000  0.145445  6.078753e-04     False
  SampleAG2_SampleAZ0   SampleAZ0  SampleAZ0   AV  0.989119  0.792616   78.0  0.989119  0.000000  0.008551  2.329436e-03     False
  SampleAG1_SampleAZ9   SampleAZ9  SampleAG1   AV  0.946440  0.948836   98.0  0.946440  0.000366  0.000000  5.319422e-02     False
  SampleAG6_SampleAI6   SampleAI6  SampleAI6  MHS  0.978553  0.994295   98.0  0.013634  0.000000  0.978553  7.812734e-03     False
  SampleAH1_SampleAN3   SampleAN3  SampleAN3  MHS  0.958108  0.987746   92.0  0.015320  0.000000  0.958108  2.657206e-02     False
  SampleAH0_SampleAO0   SampleAO0  SampleAO0  PHS  0.632223  0.931822   71.0  0.040765  0.000000  0.327013  6.322227e-01     False
  SampleAH2_SampleAS4   SampleAS4  SampleAH2   AV  1.000000  0.760289   69.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAH2_SampleAS5   SampleAS5  SampleAH2   AV  1.000000  0.823038   65.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAH0_SampleAV1   SampleAV1  SampleAV1   AV  0.963415  0.805358   72.0  0.963415  0.000000  0.018188  1.839659e-02     False
  SampleAH1_SampleAV1   SampleAV1  SampleAV1  MHS  0.913776  0.955534   97.0  0.078341  0.000000  0.913776  7.883445e-03     False
  SampleAH0_SampleAY2   SampleAY2  SampleAY2  MHS  0.914343  0.956202   99.0  0.080475  0.000000  0.914343  5.181439e-03     False
  SampleAG7_SampleAZ3   SampleAG7  SampleAZ3   AV  1.000000  0.741911   94.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAG8_SampleAZ3   SampleAG8  SampleAZ3   AV  1.000000  0.765093   93.0  1.000000  0.000000  0.000000  0.000000e+00     False
 SampleAG10_SampleAZ3  SampleAG10  SampleAZ3   AV  0.595889  0.784330   78.0  0.595889  0.404111  0.000000  0.000000e+00     False
  SampleAH3_SampleAI1   SampleAI1  SampleAI1  MHS  0.915415  0.991417   87.0  0.010629  0.000000  0.915415  7.395618e-02     False
  SampleAH3_SampleAQ3   SampleAQ3  SampleAQ3   AV  0.999317  0.744862   88.0  0.999317  0.000000  0.000665  1.856159e-05     False
  SampleAH4_SampleAS0   SampleAH4  SampleAS0   AV  1.000000  0.981045   99.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAH5_SampleAS0   SampleAH5  SampleAS0   AV  1.000000  0.996594   95.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAH7_SampleAS0   SampleAH7  SampleAS0   AV  1.000000  0.989387   87.0  1.000000  0.000000  0.000000  0.000000e+00      True
  SampleAH8_SampleAS0   SampleAH8  SampleAS0   AV  1.000000  0.982356   78.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI1_SampleAJ2   SampleAJ2  SampleAJ2  MHS  0.889368  0.950928   90.0  0.077486  0.000000  0.889368  3.314601e-02     False
  SampleAI1_SampleAO2   SampleAO2  SampleAO2   AV  0.528067  0.898811   93.0  0.528067  0.000000  0.464265  7.667899e-03     False
  SampleAI1_SampleAO4   SampleAO4  SampleAI1   AV  1.000000  0.990159   82.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI1_SampleAO5   SampleAO5  SampleAI1   AV  1.000000  0.991374   84.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI7_SampleAO0   SampleAI7  SampleAO0   AV  1.000000  0.909454   89.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI1_SampleAO9   SampleAO9  SampleAI1   GP  0.850047  0.775033   72.0  0.149953  0.850047  0.000000  0.000000e+00     False
  SampleAI4_SampleAU2   SampleAI4  SampleAU2   AV  1.000000  0.735723   78.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI5_SampleAU2   SampleAI5  SampleAU2   AV  1.000000  0.722877   78.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI7_SampleAU2   SampleAI7  SampleAU2   AV  1.000000  0.750491   98.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI2_SampleAU4   SampleAU4  SampleAI2   AV  1.000000  0.964203   84.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI2_SampleAU5   SampleAU5  SampleAI2   AV  1.000000  0.952149   88.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI2_SampleAU7   SampleAU7  SampleAI2   AV  1.000000  0.935073   74.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI2_SampleAU8   SampleAU8  SampleAI2   AV  1.000000  0.961272   89.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAI8_SampleAO0   SampleAI8  SampleAO0   AV  1.000000  0.977855   86.0  1.000000  0.000000  0.000000  0.000000e+00     False
 SampleAJ0_SampleAO10  SampleAO10  SampleAJ0   GP  0.676802  0.995055   73.0  0.323198  0.676802  0.000000  0.000000e+00     False
  SampleAJ4_SampleAO6   SampleAO6  SampleAO6   AV  1.000000  0.824143   70.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAJ2_SampleAQ3   SampleAQ3  SampleAQ3   AV  0.988337  0.809347   95.0  0.988337  0.000000  0.011571  9.196070e-05     False
  SampleAI8_SampleAU2   SampleAI8  SampleAU2   AV  1.000000  0.835408   87.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAJ5_SampleAO6   SampleAO6  SampleAO6   AV  1.000000  0.837526   68.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAK0_SampleAR4   SampleAR4  SampleAK0   AV  1.000000  0.770288   75.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAJ6_SampleAS1   SampleAJ6  SampleAS1  MHS  0.768629  0.998347   81.0  0.005390  0.000000  0.768629  2.259815e-01     False
  SampleAK0_SampleAR7   SampleAR7  SampleAK0   AV  1.000000  0.697559   77.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAK0_SampleAT3   SampleAT3  SampleAT3  MHS  0.931728  0.978638   89.0  0.021071  0.000000  0.931728  4.720091e-02     False
  SampleAK1_SampleAV0   SampleAV0  SampleAV0   AV  0.809898  0.854024   77.0  0.809898  0.000000  0.134256  5.584606e-02     False
  SampleAK0_SampleAX0   SampleAX0  SampleAX0  MHS  0.945291  0.986950   90.0  0.014813  0.000000  0.945291  3.989514e-02     False
  SampleAK2_SampleAP3   SampleAP3  SampleAP3   AV  0.995538  0.786391   91.0  0.995538  0.000000  0.004387  7.499796e-05     False
  SampleAK4_SampleAR2   SampleAK4  SampleAR2   AV  1.000000  0.968703   78.0  1.000000  0.000000  0.000000  0.000000e+00      True
  SampleAK5_SampleAR2   SampleAK5  SampleAR2   AV  1.000000  0.987205   83.0  1.000000  0.000000  0.000000  0.000000e+00      True
  SampleAK6_SampleAT6   SampleAT6  SampleAT6  MHS  0.695504  0.981177   79.0  0.010425  0.000000  0.695504  2.940706e-01     False
  SampleAK2_SampleAU1   SampleAU1  SampleAU1  MHS  0.466536  0.898382   78.0  0.350368  0.000000  0.466536  1.830957e-01     False
  SampleAK6_SampleAV3   SampleAK6  SampleAV3   AV  0.998072  0.769416   92.0  0.998072  0.000000  0.001903  2.484431e-05     False
  SampleAK6_SampleAY1   SampleAK6  SampleAY1   AV  0.999249  0.747565   89.0  0.999249  0.000000  0.000734  1.675584e-05     False
  SampleAL2_SampleAR1   SampleAR1  SampleAR1  MHS  0.914847  0.989197   87.0  0.011807  0.000000  0.914847  7.334605e-02     False
  SampleAL3_SampleAS1   SampleAS1  SampleAS1  MHS  0.843010  0.939064   93.0  0.140991  0.000000  0.843010  1.599892e-02     False
  SampleAL2_SampleAT2   SampleAT2  SampleAT2  MHS  0.649432  0.946253   78.0  0.049894  0.000000  0.649432  3.006739e-01     False
  SampleAL4_SampleAV0   SampleAL4  SampleAV0   AV  1.000000  0.986269   86.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAL5_SampleAV0   SampleAL5  SampleAV0   AV  1.000000  0.963295   95.0  1.000000  0.000000  0.000000  0.000000e+00     False
