ActualRel ActualDeg KINGDeg IBD1 IBD2 ERSADeg ERSARel PONDDeg
PO PO PO 0.9759 0.0228 PO PO PO 
GP 2 2 0.4089 0.0055 3 CO 3 
GP 2 2 0.4765 0.0035 2 AV 2 
GP 2 2 0.6743 0.006 FS FS 2 
GP 2 2 0.4855 0.0044 2 HS 2 
GP 2 2 0.4511 0.0111 2 AV 2 
GP 2 2 0.5076 0.012 2 AV 2 
PO PO PO 0.9897 0.0103 PO PO PO 
GP 2 2 0.5597 0.0032 2 HS 2 
PO PO PO 0.9787 0.0196 PO PO PO 
PHS 2 2 0.5447 0.0078 2 AV 2 
HV 3 3 0.2389 0.0031 3 HV 4 
HC 4 4 0.1176 0.0 4 NA 4 
HV 3 3 0.2523 0.0038 3 HV 3 
HC 4 4 0.1537 0.0 4 NA 4 
HV 3 2 0.3858 0.0014 3 GGP 3 
HC 4 3 0.2065 0.0013 ERSAdeg ERSArel 4 
HV 3 3 0.3247 0.0022 3 HV 3 
HC 4 4 0.1518 0.0015 4 NA 4 
HV 3 3 0.2715 0.0067 3 HV 3 
HC 4 4 0.1246 0.0011 4 NA 4 
HV 3 3 0.2994 0.0062 3 HV 3 
HC 4 4 0.1549 0.0013 4 NA 4 
HV 3 3 0.236 0.0037 3 CO 4 
PHS 2 2 0.5229 0.0181 2 AV 2 
HV 3 3 0.2771 0.0052 3 CO 3 
HV 3 3 0.3134 0.0094 3 HV 3 
HV 3 2 0.4213 0.009 3 GGP 2 
HV 3 2 0.3462 0.0081 3 CO 3 
HV 3 3 0.2619 0.0059 3 HV 3 
HV 3 3 0.3167 0.0048 3 CO 3 
PHS 2 2 0.5513 0.0017 2 AV 2 
HV 3 2 0.3549 0.0234 3 CO 3 
PO PO PO 0.97 0.0243 PO PO PO 
PO PO PO 0.9803 0.0173 PO PO PO 
PO PO PO 0.9798 0.0168 PO PO PO 
PO PO PO 0.9764 0.0181 PO PO PO 
PO PO PO 0.9778 0.0165 PO PO PO 
PO PO PO 0.9649 0.0278 PO PO PO 
PO PO PO 0.9749 0.0209 PO PO PO 
PHS 2 2 0.5922 0.0177 2 AV 2 
FS FS FS 0.4282 0.3466 FS FS FS 
PHS 2 2 0.5585 0.0072 2 HS 2 
PHS 2 2 0.5372 0.0085 2 HS 2 
PHS 2 2 0.6563 0.0099 2 AV 2 
PHS 2 2 0.3755 0.0091 3 CO 3 
PHS 2 2 0.6038 0.0114 2 AV 2 
PHS 2 2 0.5769 0.0156 2 HS 2 
PHS 2 2 0.6013 0.0043 2 HS 2 
PHS 2 2 0.5432 0.0181 2 HS 2 
PHS 2 2 0.5377 0.0133 2 HS 2 
PHS 2 2 0.5319 0.009 2 HS 2 
PHS 2 2 0.619 0.0109 2 AV 2 
PHS 2 2 0.4711 0.0036 3 CO 2 
PHS 2 2 0.565 0.0133 2 HS 2 
PHS 2 2 0.5534 0.0 2 AV 2 
PHS 2 2 0.5694 0.0143 2 AV 2 
PHS 2 2 0.6076 0.0146 ERSAdeg ERSArel 2 
FS FS FS 0.4452 0.3761 FS FS FS 
PHS 2 2 0.6261 0.015 2 AV 2 
PHS 2 2 0.5605 0.0069 2 HS 2 
PO PO PO 0.962 0.0366 PO PO PO 
PO PO PO 0.9779 0.0211 PO PO PO 
PO PO PO 0.9802 0.0191 PO PO PO 
PO PO PO 0.969 0.0282 PO PO PO 
PO PO PO 0.9838 0.0151 PO PO PO 
PO PO PO 0.9851 0.0142 PO PO PO 
MHS 2 2 0.5254 0.0102 3 CO 2 
MHS 2 2 0.6148 0.0106 2 HS 2 
MHS 2 2 0.4701 0.0015 3 CO 2 
MHS 2 2 0.5794 0.0109 3 CO 2 
MHS 2 2 0.5292 0.0027 3 CO 2 
MHS 2 2 0.5173 0.0122 3 CO 2 
MHS 2 2 0.5818 0.0111 2 HS 2 
MHS 2 2 0.5577 0.0075 3 CO 2 
MHS 2 2 0.556 0.0056 2 HS 2 
MHS 2 2 0.5011 0.0033 2 HS 2 
MHS 2 2 0.5688 0.0092 3 CO 2 
